movie,total_rows,positive_count,positive_percentage,neutral_count,neutral_percentage,negative_count,negative_percentage,avg_confidence,avg_rating,analysis_date
All Movies,97736,65543,67.06,0,0.0,32193,32.94,0.854,77.32,2025-12-17 23:29:39
Sunshine,34911,23813,68.21,0,0.0,11098,31.79,0.855,90.61,2025-12-18 00:58:20
Mallari,14397,8819,61.26,0,0.0,5578,38.74,0.845,60.3,2025-12-18 00:07:16
Quezon,10589,7705,72.76,0,0.0,2884,27.24,0.85,80.06,2025-12-18 00:17:26
Maid In Malacanang,9849,6885,69.91,0,0.0,2964,30.09,0.874,75.14,2025-12-17 23:56:06
Hows Of Us,9828,5701,58.01,0,0.0,4127,41.99,0.847,69.49,2025-12-17 23:48:47
Hello Love Goodbye,8759,6435,73.47,0,0.0,2324,26.53,0.872,71.29,2025-12-17 23:40:01
The Kingmaker,5006,3324,66.4,0,0.0,1682,33.6,0.826,76.27,2025-12-18 01:06:37
Hayop Ka,2996,1966,65.62,0,0.0,1030,34.38,0.854,54.1,2025-12-17 23:32:17
Praybeyt Benjamin 1,835,572,68.5,0,0.0,263,31.5,0.847,68.65,2025-12-18 00:07:53
Praybeyt Benjamin 2,473,271,57.29,0,0.0,202,42.71,0.848,44.49,2025-12-18 00:08:14
Felix Manalo,93,52,55.91,0,0.0,41,44.09,0.819,32.14,2025-12-17 23:29:45
