Movie,Total Reviews,Positive %,Negative %,Neutral %,Topics Found,Positive Topics,Negative Topics
The Kingmaker,1548,65.57,34.43,0.0,6,3,3
Praybeyt Benjamin 2,280,56.07,43.93,0.0,4,2,2
Hello Love Goodbye,3149,72.02,27.98,0.0,28,24,4
Hayop Ka,930,66.67,33.33,0.0,13,9,4
Sunshine,9091,74.01,25.99,0.0,54,42,12
Quezon,2798,70.12,29.88,0.0,11,6,5
Praybeyt Benjamin 1,627,66.51,33.49,0.0,8,8,0
Mallari,6002,57.55,42.45,0.0,33,21,12
Maid in Malacañang,2007,64.92,35.08,0.0,2,1,1
Hows of Us,4492,52.49,47.51,0.0,38,22,16
Felix Manalo,43,51.16,48.84,0.0,4,2,2
