topic,topic_size,dominant_sentiment,positive_count,positive_percentage,negative_count,negative_percentage,neutral_count,neutral_percentage,avg_sentiment_score,top_keywords,keyword_string
0,305,POSITIVE,255,83.61,50,16.39,0,0.0,0.899,"['film', 'watched', 'love', 'sequel', 'watch']","film, watched, love, sequel, watch"
1,274,MOSTLY_POSITIVE,101,36.86,87,31.75,86,31.39,0.566,"['kms', 'alden', 'cute', 'ok', 'dimples alden']","kms, alden, cute, ok, dimples alden"
2,265,POSITIVE,236,89.06,29,10.94,0,0.0,0.909,"['film', 'love', 'movies', 'story', 'hong kong']","film, love, movies, story, hong kong"
3,177,NEGATIVE,60,33.9,116,65.54,1,0.56,0.818,"['kath', 'galing', 'napanood', 'kaya', 'maging']","kath, galing, napanood, kaya, maging"
4,116,POSITIVE,74,63.79,42,36.21,0,0.0,0.849,"['galing', 'alden', 'kathryn', 'kaya', 'character']","galing, alden, kathryn, kaya, character"
5,90,POSITIVE,64,71.11,26,28.89,0,0.0,0.86,"['rewatched', 'watched', 'rewatch', 'maganda', 'ganda']","rewatched, watched, rewatch, maganda, ganda"
6,76,POSITIVE,49,64.47,25,32.89,2,2.63,0.832,"['ethan', 'joy', 'hate', 'friend', 'manipulative']","ethan, joy, hate, friend, manipulative"
7,74,POSITIVE,68,91.89,6,8.11,0,0.0,0.908,"['ethan', 'joy', 'really', 'character', 'story']","ethan, joy, really, character, story"
8,66,POSITIVE,52,78.79,14,21.21,0,0.0,0.839,"['dreams', 'career', 'girl', 'love', 'men']","dreams, career, girl, love, men"
9,65,POSITIVE,60,92.31,5,7.69,0,0.0,0.917,"['love goodbye', 'goodbye', 'hello love', 'hello', 'love']","love goodbye, goodbye, hello love, hello, love"
10,58,POSITIVE,53,91.38,5,8.62,0,0.0,0.895,"['alden', 'kathryn', 'chemistry', 'acting', 'film']","alden, kathryn, chemistry, acting, film"
11,55,POSITIVE,32,58.18,23,41.82,0,0.0,0.82,"['joy', 'ethan', 'sarili', 'oa', 'canada']","joy, ethan, sarili, oa, canada"
12,51,POSITIVE,36,70.59,14,27.45,1,1.96,0.884,"['don love', 'hello', 'don', 'love', 'hello love']","don love, hello, don, love, hello love"
13,38,POSITIVE,22,57.89,16,42.11,0,0.0,0.812,"['alden', 'alden richards', 'richards', 'daniel', 'alden character']","alden, alden richards, richards, daniel, alden character"
14,37,POSITIVE,22,59.46,10,27.03,5,13.51,0.717,"['cried', 'tears', 'sad', 'sobbing', 'bf']","cried, tears, sad, sobbing, bf"
15,36,POSITIVE,34,94.44,2,5.56,0,0.0,0.936,"['bernardo', 'kathryn bernardo', 'bernardo kathryn', 'kathryn', 'love kathryn']","bernardo, kathryn bernardo, bernardo kathryn, kathryn, love kathryn"
16,33,POSITIVE,28,84.85,5,15.15,0,0.0,0.933,"['kathryn', 'best', 'kathryn best', 'best kathryn', 'acting']","kathryn, best, kathryn best, best kathryn, acting"
17,33,POSITIVE,30,90.91,2,6.06,1,3.03,0.931,"['joy joy', 'joy', 'se', 'joy carried', 'joy like']","joy joy, joy, se, joy carried, joy like"
18,31,POSITIVE,17,54.84,14,45.16,0,0.0,0.796,"['land', 'version', 'pinoy', 'philippines', 'bcs']","land, version, pinoy, philippines, bcs"
19,29,POSITIVE,23,79.31,6,20.69,0,0.0,0.922,"['chemistry', 'alden', 'chemistry kathryn', 'good chemistry', 'kathryn alden']","chemistry, alden, chemistry kathryn, good chemistry, kathryn alden"
20,29,POSITIVE,17,58.62,12,41.38,0,0.0,0.867,"['ending', 'couldve', 'wasn', 'good', 'sequel']","ending, couldve, wasn, good, sequel"
21,28,POSITIVE,17,60.71,11,39.29,0,0.0,0.832,"['hong', 'hong kong', 'kong', 'miss', 'hlg']","hong, hong kong, kong, miss, hlg"
22,28,POSITIVE,25,89.29,2,7.14,1,3.57,0.888,"['kathryn', 'kathden', 'pairing', 'galing', 'galing kathryn']","kathryn, kathden, pairing, galing, galing kathryn"
23,25,POSITIVE,24,96.0,1,4.0,0,0.0,0.962,"['carried', 'kathryn carried', 'kathryn', 'bernardo carried', 'kathryn bernardo']","carried, kathryn carried, kathryn, bernardo carried, kathryn bernardo"
24,24,NEGATIVE,9,37.5,15,62.5,0,0.0,0.804,"['alden', 'baduy', 'maine', 'mukha', 'anong']","alden, baduy, maine, mukha, anong"
25,22,MOSTLY_NEGATIVE,10,45.45,11,50.0,1,4.55,0.781,"['anthony', 'kilig', 'hk', 'ethan good', 'nako']","anthony, kilig, hk, ethan good, nako"
